TIME,zhexi_in,xiaoxi_out,lengshuijiang_add,xinhua_add,zhexi_add
2017/10/1 0:00,300.937,160.6,0,0,0
2017/10/1 1:00,256.388,160.18,0,0,0
2017/10/1 2:00,273.69,162.39,0,0,0
2017/10/1 3:00,225.71099999999998,113.41,0,0,0
2017/10/1 4:00,243.453,55.83,0,0,0
2017/10/1 5:00,202.516,55.88,0,0,0
2017/10/1 6:00,267.647,55.96,0,0,0
2017/10/1 7:00,199.24099999999999,56.06,0,0,0
2017/10/1 8:00,257.572,56.14,0,0,0
2017/10/1 9:00,264.83299999999997,56.24,0,0,0
2017/10/1 10:00,202.947,137.36,0,0,0
2017/10/1 11:00,259.895,158.75,0,0,0
2017/10/1 12:00,135.372,159.96,0,0,0
2017/10/1 13:00,200.41099999999997,159.38,0,0,0
2017/10/1 14:00,78.736,159.62,0,0,0
2017/10/1 15:00,138.733,159.61,0,0,0
2017/10/1 16:00,139.971,159.63,0,0,0
2017/10/1 17:00,233.045,159.5,0,0,0
2017/10/1 18:00,234.72299999999998,159.75,0,0,0
2017/10/1 19:00,255.653,275.71,0,0,0
2017/10/1 20:00,207.257,326.31,0,0,0
2017/10/1 21:00,158.046,197.75,0,0,0
2017/10/1 22:00,172.31099999999998,165.01,0,0,0
2017/10/1 23:00,73.58,165.03,0,0,0
2017/10/2 0:00,165.553,164.76,0,0,0
2017/10/2 1:00,173.399,164.59,0,0,0
2017/10/2 2:00,311.254,164.58,0,0,0
2017/10/2 3:00,199.257,164.55,0,0,0
2017/10/2 4:00,284.78,164.41,0,0,0
2017/10/2 5:00,258.30400000000003,164.23,0,0,0
2017/10/2 6:00,129.094,164.19,0,0,0
2017/10/2 7:00,191.68200000000002,164.57,0,0,0
2017/10/2 8:00,191.55,164.24,0,0,0
2017/10/2 9:00,257.04400000000004,164.08,0,0,0
2017/10/2 10:00,255.80900000000003,164.09,0,0,0
2017/10/2 11:00,253.22,164.23,0,0,0
2017/10/2 12:00,267.775,163.92,0,0,0
2017/10/2 13:00,223.145,164.15,0,0,0
2017/10/2 14:00,179.33,164.21,0,0,0
2017/10/2 15:00,192.418,163.84,0,0,0
2017/10/2 16:00,141.83,163.37,0,0,0
2017/10/2 17:00,234.386,163.56,0,0,0
2017/10/2 18:00,296.631,163.61,0,0,0
2017/10/2 19:00,228.93599999999998,163.42,0,0,0
2017/10/2 20:00,293.335,162.94,0,0,0
2017/10/2 21:00,300.689,162.94,0,0,0
2017/10/2 22:00,307.339,163.42,0,0,0
2017/10/2 23:00,236.11700000000002,163.22,0,0,0
2017/10/3 0:00,235.053,162.49,0,0,0
2017/10/3 1:00,305.634,99.14,0,0,0
2017/10/3 2:00,244.588,70.13,0,0,0
2017/10/3 3:00,310.528,70.22,0,0,0
2017/10/3 4:00,305.748,69.9,0,0,0
2017/10/3 5:00,238.24200000000002,69.96,0,0,0
2017/10/3 6:00,242.49099999999999,67.8,1,0,0
2017/10/3 7:00,167.52200000000002,68.04,0,0,0
2017/10/3 8:00,221.017,68.15,1,0,1
2017/10/3 9:00,143.74200000000002,67.89,0,0,0
2017/10/3 10:00,74.75399999999999,67.94,0,0,0
2017/10/3 11:00,198.61900000000003,67.72,0,0,0
2017/10/3 12:00,198.672,67.76,0,0,0
2017/10/3 13:00,202.334,161.0,0,0,0
2017/10/3 14:00,140.019,162.02,0,0,0
2017/10/3 15:00,144.732,161.56,0,0,0
2017/10/3 16:00,215.38099999999997,161.39,0,0,0
2017/10/3 17:00,95.905,161.77,0,0,0
2017/10/3 18:00,157.744,161.57,0,0,0
2017/10/3 19:00,219.9,161.37,0,0,0
2017/10/3 20:00,156.97899999999998,161.14,0,0,1
2017/10/3 21:00,159.495,161.12,0,0,0
2017/10/3 22:00,95.104,160.84,0,0,0
2017/10/3 23:00,155.076,160.79,0,0,0
2017/10/4 0:00,102.82600000000001,160.88,0,0,0
2017/10/4 1:00,113.76,94.23,0,0,0
2017/10/4 2:00,111.999,67.28,0,0,0
2017/10/4 3:00,172.80599999999998,67.46,0,0,0
2017/10/4 4:00,231.635,67.32,0,0,0
2017/10/4 5:00,225.399,67.16,0,0,0
2017/10/4 6:00,207.372,67.09,0,0,0
2017/10/4 7:00,249.453,67.2,0,0,0
2017/10/4 8:00,238.537,67.32,0,0,0
2017/10/4 9:00,214.065,67.34,0,0,0
2017/10/4 10:00,190.19299999999998,67.35,0,0,0
2017/10/4 11:00,169.53900000000002,157.68,0,0,0
2017/10/4 12:00,152.476,160.24,0,0,0
2017/10/4 13:00,130.186,160.21,0,0,0
2017/10/4 14:00,173.707,160.01,0,0,0
2017/10/4 15:00,166.6,159.6,0,0,0
2017/10/4 16:00,159.504,159.74,0,0,0
2017/10/4 17:00,152.424,160.13,0,0,0
2017/10/4 18:00,207.675,159.58,0,0,0
2017/10/4 19:00,177.167,159.46,0,0,0
2017/10/4 20:00,149.054,159.97,0,0,1
2017/10/4 21:00,213.889,159.48,0,0,0
2017/10/4 22:00,238.40599999999998,159.79,0,0,0
2017/10/4 23:00,285.495,159.88,0,0,0
2017/10/5 0:00,202.938,160.0,0,0,0
2017/10/5 1:00,229.475,161.51,0,0,0
2017/10/5 2:00,320.045,161.14,0,0,0
2017/10/5 3:00,210.46,161.37,0,0,0
2017/10/5 4:00,202.46400000000003,161.11,0,0,0
2017/10/5 5:00,235.02200000000002,160.88,0,0,0
2017/10/5 6:00,335.031,161.49,0,0,0
2017/10/5 7:00,297.464,161.26,0,0,0
2017/10/5 8:00,189.984,161.17,0,0,0
2017/10/5 9:00,132.775,161.01,0,0,0
2017/10/5 10:00,191.757,139.3,0,0,0
2017/10/5 11:00,173.722,154.73,0,0,0
2017/10/5 12:00,87.12299999999999,249.0,0,0,0
2017/10/5 13:00,138.881,162.79,0,0,0
2017/10/5 14:00,191.00400000000002,162.89,0,0,0
2017/10/5 15:00,235.30200000000002,162.23,0,0,0
2017/10/5 16:00,165.9,142.49,0,0,0
2017/10/5 17:00,154.796,66.78,0,0,0
2017/10/5 18:00,119.12,108.43,0,0,0
2017/10/5 19:00,161.422,268.59,0,0,0
2017/10/5 20:00,270.931,270.7,0,0,0
2017/10/5 21:00,285.301,273.15,0,0,0
2017/10/5 22:00,242.476,273.65,0,0,0
2017/10/5 23:00,157.142,102.51,0,0,0
2017/10/6 0:00,228.813,68.8,0,0,0
2017/10/6 1:00,137.865,68.93,0,0,0
2017/10/6 2:00,109.507,69.06,0,0,0
2017/10/6 3:00,168.415,68.91,0,0,0
2017/10/6 4:00,333.365,68.56,0,0,0
2017/10/6 5:00,498.158,67.08,0,0,0
2017/10/6 6:00,429.99699999999996,66.77,0,0,0
2017/10/6 7:00,378.142,66.7,0,0,0
2017/10/6 8:00,293.02,66.59,0,0,0
